Title,Avg,Total,Total_males,Total_Females,All_below_18,All_18_29,All_30_44,All_over_45,Males_below_18,Males_18_29,Males_30_44,Males_over_45,Females_below_18,Females_18_29,Females_30_44,Females_over_45,Title_ID,All_rank_below_18,All_rank_18_29,All_rank_30_44,All_rank_over_45,Males_rank_below_18,Males_rank_18_29,Males_rank_30_44,Males_rank_over_45,Females_rank_below_18,Females_rank_18_29,Females_rank_30_44,Females_rank_over_45
Person of Interest,8.5,"171,902","98,671","26,866",14,"21,790","66,682","27,548",7,"17,558","52,777","19,560",3,"3,859","12,968","7,535",tt1839578,8.3,8.9,8.4,8.3,9.1,8.9,8.4,8.3,8.3,8.7,8.4,8.6
Personal Shopper,6.1,"39,343","22,195","7,588",12,"5,512","16,397","6,441",7,"3,727","11,976","5,138",4,"1,643","4,111","1,184",tt4714782,5.2,6.5,6.1,6.0,6.5,6.6,6.2,6.0,5.5,6.2,5.9,5.7
Peter and the Farm,7.1,757,541,68,0,72,361,154,0,60,320,134,0,11,37,15,tt5535814,-,7.4,7.0,6.9,-,7.6,7.1,6.9,-,6.4,6.8,6.8
Peter Rabbit,6.6,"41,349","20,356","7,412",74,"5,555","14,171","5,572",51,"3,576","10,394","4,332",18,"1,772","3,540","1,130",tt5117670,6.2,6.5,6.5,6.6,5.9,6.4,6.4,6.5,6.5,7.0,6.8,7.2
Phamous,3.9,314,224,7,0,49,135,21,0,47,132,21,0,0,2,0,tt8338746,-,3.7,3.7,3.7,-,3.6,3.8,3.7,-,-,2.0,-
Phantom Boy,6.6,"1,523",993,198,2,195,610,333,1,139,506,289,1,53,94,36,tt1856057,7.0,6.7,6.6,6.6,9.0,6.6,6.5,6.5,5.0,6.9,6.8,6.8
Philadelphia,8.9,"213,394","126,332","27,300",82,"30,266","99,483","15,192",53,"23,809","81,338","12,216",23,"5,679","16,961","2,689",tt0472954,9.0,9.0,8.9,8.1,9.2,9.1,8.9,8.2,8.0,8.8,8.6,7.8
Phir Se,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2141885,0,0,0,0,0,0,0,0,0,0,0,0
Phobia 2,6.6,"2,562","1,637",443,1,360,"1,270",372,1,250,"1,005",301,0,104,250,64,tt1521846,7.0,6.8,6.7,6.4,7.0,6.8,6.6,6.3,-,6.7,6.8,6.5
Phone Swap,7.4,9,3,2,0,2,2,0,0,1,1,0,0,1,0,0,tt9242538,-,8.5,9.0,-,-,10.0,9.0,-,-,7.0,-,-
Phullu,6.0,204,131,14,0,32,85,6,0,29,76,5,0,3,8,1,tt6941560,-,6.0,5.8,6.0,-,6.0,5.8,6.0,-,5.5,5.8,6.0
Pick of the Litter,7.6,"1,499",727,371,2,160,504,368,2,90,327,258,0,65,169,104,tt5644050,7.5,7.5,7.4,7.5,7.5,7.3,7.3,7.4,-,7.9,7.9,8.1
Pierre Jackson,6.6,80,22,20,0,1,18,22,0,0,11,10,0,1,6,9,tt7031338,-,7.0,5.5,6.1,-,-,6.6,5.9,-,7.0,4.7,6.2
Pimpal,7.6,173,90,9,0,21,48,10,0,19,44,8,0,2,4,1,tt7734662,-,7.3,7.8,6.5,-,7.3,7.8,6.0,-,7.0,9.0,8.0
Pioneers of African-American Cinema,5.9,18,11,6,0,3,7,5,0,2,3,4,0,1,4,1,tt6918226,-,7.0,5.7,7.5,-,10.0,4.0,6.7,-,4.0,5.7,10.0
Pitaah,6.5,710,520,72,0,67,430,66,0,61,385,46,0,5,43,20,tt0305455,-,6.6,6.4,6.4,-,6.6,6.4,6.1,-,7.2,6.9,7.3
"Pizza, birra, faso",7.0,"2,595","1,742",189,3,316,"1,115",416,2,261,998,375,1,37,106,35,tt0145393,5.3,7.3,7.0,6.7,6.0,7.3,7.1,6.8,4.0,7.3,6.7,6.5
"Plaire, aimer et courir vite",6.8,"3,477","2,102",384,2,447,"1,191",770,1,316,981,683,1,100,178,73,tt7534054,4.5,6.9,6.8,6.6,3.0,6.9,6.8,6.6,6.0,6.8,7.0,6.2
Planet Earth II,9.5,"111,032","59,398","8,262",64,"20,069","34,124","7,266",48,"16,790","29,552","5,967",9,"2,428","3,750","1,035",tt5491994,7.2,9.6,9.5,9.3,7.7,9.6,9.5,9.3,5.0,9.6,9.6,9.5
Planet Earth: The Complete Collection,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Planet Hulk,6.7,"12,977","10,037",357,3,"1,678","6,630","1,712",2,"1,593","6,353","1,616",1,53,212,77,tt1483025,6.3,6.7,6.7,6.6,6.0,6.7,6.7,6.6,7.0,6.9,6.7,6.7
Planetarium,4.6,"3,337","1,645",827,1,404,"1,222",729,0,195,786,569,1,199,403,148,tt4680196,1.0,4.8,4.6,4.6,-,4.7,4.5,4.5,1.0,5.0,4.7,4.7
Platoon,8.1,"403,503","275,392","27,124",88,"37,007","175,397","78,297",71,"33,330","159,879","68,090",14,"3,012","13,663","9,085",tt0091763,8.2,8.0,8.1,8.1,8.2,8.1,8.1,8.1,8.0,7.8,7.8,8.0
Playing for Time,7.3,"2,728","1,356",705,1,185,721,"1,064",1,93,489,699,0,84,208,349,tt0081344,5.0,7.2,7.1,7.5,5.0,7.0,7.0,7.3,-,7.5,7.4,7.9
Playing Hard,6.4,925,427,137,0,112,355,83,0,55,266,72,0,39,77,8,tt7419468,-,5.9,6.4,6.5,-,5.6,6.3,6.6,-,6.1,6.7,5.9
Pope Francis: A Man of His Word,6.4,"2,222","1,300",291,3,242,704,553,2,180,576,448,1,53,116,93,tt6915100,7.5,6.5,6.2,6.6,7.0,6.4,6.1,6.5,8.0,7.1,7.2,7.2
Popeye,7.7,"119,470","84,150","6,430",40,"9,843","48,806","29,406",33,"9,052","45,393","26,326",6,606,"2,899","2,644",tt0067116,7.7,7.7,7.6,7.8,7.9,7.8,7.6,7.8,6.6,7.4,7.1,7.6
Portlandia,7.8,"20,413","10,858","4,529",3,"2,475","9,209","2,928",2,"1,543","6,486","2,081",1,858,"2,557",798,tt1780441,6.0,8.0,7.8,7.5,6.0,8.0,7.7,7.4,6.0,8.1,7.9,7.7
Porto,6.0,"2,067","1,188",412,1,278,827,425,0,162,603,356,1,107,206,61,tt4446472,6.0,6.3,6.0,5.8,-,6.4,6.1,5.8,6.0,6.2,5.9,5.5
Postcards from London,5.2,"1,137",753,77,0,87,358,329,0,67,318,305,0,15,36,16,tt6280608,-,5.3,4.8,5.4,-,5.3,4.8,5.5,-,5.2,5.0,3.1
Powder,6.6,"30,005","18,091","5,294",1,984,"14,327","7,576",1,640,"10,897","6,006",0,320,"3,276","1,455",tt0114168,6.0,6.7,6.5,6.6,6.0,6.6,6.4,6.5,-,7.1,6.9,7.2
Power Battle Watch Car,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers Dino Charge,6.6,"1,322",656,132,7,296,345,79,4,247,287,61,1,45,54,18,tt3521854,9.6,6.8,6.2,5.8,9.7,6.9,6.1,5.6,10.0,6.9,7.1,6.9
Power Rangers Dino Super Charge,6.6,"1,322",656,132,7,296,345,79,4,247,287,61,1,45,54,18,tt3521854,9.6,6.8,6.2,5.8,9.7,6.9,6.1,5.6,10.0,6.9,7.1,6.9
Power Rangers Dino Thunder,6.8,"3,048","1,724",316,4,799,933,146,2,682,777,118,1,107,151,27,tt0373587,9.5,7.1,6.0,5.7,10.0,7.1,5.9,5.5,8.0,7.8,6.5,7.5
Power Rangers in Space,7.3,"3,179","1,967",343,1,653,"1,360",185,0,578,"1,136",139,0,67,214,44,tt0120575,10.0,7.7,6.9,5.2,-,7.7,6.9,5.1,-,7.1,6.9,6.6
Power Rangers Jungle Fury,6.7,"1,725",914,204,4,442,483,104,2,365,390,76,0,71,90,27,tt1121628,9.8,6.7,6.1,5.5,10.0,6.6,6.0,5.7,-,6.9,6.9,5.1
Power Rangers Lightspeed Rescue,6.5,"1,886","1,141",171,3,478,643,113,1,425,546,95,0,49,93,17,tt0212686,9.0,7.0,5.8,5.6,10.0,7.0,5.8,5.4,-,7.3,6.3,6.9
Power Rangers Lost Galaxy,6.9,"2,332","1,420",228,2,526,901,137,0,464,766,108,0,58,131,27,tt0175059,9.0,7.2,6.4,5.8,-,7.2,6.4,5.7,-,7.5,6.4,7.3
Power Rangers Mystic Force,6.7,"2,615","1,452",311,5,786,720,134,3,637,587,109,0,135,127,24,tt0451469,9.2,7.0,5.8,5.7,9.3,6.8,5.7,5.6,-,7.8,6.7,6.7
Power Rangers Ninja Storm,6.4,"2,528","1,475",270,4,745,768,118,1,624,638,97,1,110,121,20,tt0312189,9.0,6.8,5.6,5.1,10.0,6.7,5.6,5.0,8.0,7.3,6.0,5.7
Power Rangers Operation Overdrive,5.5,"1,381",817,140,1,332,462,104,1,284,393,80,0,43,66,22,tt0784920,10.0,5.6,5.2,5.5,10.0,5.5,5.0,5.4,-,6.5,6.7,5.9
Power Rangers RPM,6.7,"1,708",982,184,2,395,572,115,0,329,478,92,0,63,91,21,tt1304612,9.0,7.0,6.5,5.4,-,6.9,6.4,5.5,-,7.3,7.2,4.7
Power Rangers S.P.D.,6.7,"3,045","1,696",292,3,871,803,146,2,752,664,113,0,109,135,29,tt0414762,9.3,7.0,5.7,5.1,10.0,7.0,5.7,4.9,-,7.1,6.3,7.3
Power Rangers Samurai,5.1,"2,194","1,120",268,10,504,637,149,7,401,519,110,1,96,113,36,tt1704503,6.8,5.1,4.7,3.7,6.4,5.0,4.5,3.6,7.0,6.1,5.6,4.2
"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers Samurai: Clash of the Red Rangers,6.4,118,59,5,0,21,31,6,0,18,29,6,0,2,2,0,tt6099542,-,6.1,6.2,6.3,-,5.8,6.5,6.3,-,7.5,5.5,-
Power Rangers Samurai: Party Monsters (Halloween Special),0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers Super Megaforce,5.8,"1,615",873,137,3,372,476,73,3,320,411,58,0,46,62,15,tt2236126,8.3,6.1,5.6,4.7,8.3,6.0,5.6,4.8,-,6.8,6.0,4.0
Power Rangers Super Megaforce: The Legendary Battle (Extended),7.0,345,183,20,1,75,95,19,1,65,86,17,0,9,8,2,tt4962796,10.0,7.0,7.0,6.5,10.0,7.1,6.9,6.4,-,7.0,7.9,8.5
Power Rangers Super Samurai,5.1,"2,194","1,120",268,10,504,637,149,7,401,519,110,1,96,113,36,tt1704503,6.8,5.1,4.7,3.7,6.4,5.0,4.5,3.6,7.0,6.1,5.6,4.2
Power Rangers Super Samurai: Stuck on Christmas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers Super Samurai: Trickster Treat,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers Time Force,7.0,"2,373","1,413",247,3,603,815,136,1,523,682,111,0,75,129,24,tt0256278,8.7,7.3,6.4,5.8,10.0,7.3,6.4,5.7,-,7.6,7.0,6.9
Power Rangers Turbo,5.6,"2,366","1,476",273,1,434,"1,047",168,1,378,868,129,0,49,170,38,tt0118436,10.0,6.1,5.3,4.9,10.0,6.0,5.3,4.8,-,6.6,5.2,5.3
Power Rangers Wild Force,6.2,"2,388","1,435",219,2,666,743,121,0,584,632,98,0,76,106,22,tt0287871,9.5,6.7,5.4,4.9,-,6.7,5.4,4.9,-,7.2,5.5,5.1
Power Rangers Zeo,6.5,"2,690","1,662",319,2,450,"1,255",166,1,389,"1,036",123,0,55,209,41,tt0115319,8.0,6.8,6.2,5.7,8.0,6.9,6.2,5.7,-,6.5,6.0,7.4
Power Rangers: Megaforce,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt6999076,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers: Megaforce: Raising Spirits,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt6999076,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers: Megaforce: The Robo Knight Before Christmas,5.9,44,29,7,0,8,24,3,0,4,22,1,0,4,2,1,tt2881894,-,3.2,5.5,6.0,-,3.5,5.6,10.0,-,4.2,3.5,7.0
Prague,6.7,"3,121","1,682",862,4,215,"1,416",861,2,104,888,639,1,106,512,207,tt0855975,7.0,6.6,6.7,6.8,7.0,6.4,6.7,6.7,6.0,6.9,6.9,7.0
Prelude to War,7.0,"2,184","1,529",158,1,209,804,620,1,193,721,545,0,14,74,64,tt0035209,8.0,6.9,6.9,7.1,8.0,6.9,6.9,7.1,-,7.4,7.0,6.8
Premachi Goshta,7.2,342,215,19,0,53,138,22,0,52,126,16,0,1,10,6,tt2878406,-,7.5,7.0,6.9,-,7.5,7.0,7.4,-,9.0,7.3,6.2
Prescription Thugs,6.9,"2,123","1,420",273,0,189,"1,094",343,0,144,923,277,0,43,154,59,tt4505666,-,7.0,6.9,6.8,-,7.0,7.0,6.8,-,6.9,6.6,7.1
Primal Fear,7.7,"206,455","127,379","29,040",47,"25,865","95,951","28,940",36,"19,772","78,063","23,173",6,"5,382","16,681","5,313",tt0117381,8.0,7.8,7.7,7.5,8.0,7.8,7.6,7.4,8.2,8.0,7.8,7.8
Prince Charming,5.6,"3,415","1,349","1,005",7,488,"1,231",463,1,180,713,350,6,291,496,103,tt4086018,6.3,5.6,5.5,5.7,4.0,5.2,5.5,5.6,6.7,5.8,5.6,6.0
Prince Jai Aur Dumdaar Viru,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Princess Cyd,6.7,"3,895","1,600","1,079",2,688,"1,316",545,1,305,779,419,1,356,512,111,tt6053440,5.5,6.8,6.7,6.6,5.0,6.9,6.7,6.5,6.0,6.7,6.6,6.9
Professor Mack,3.7,146,57,39,0,5,47,40,0,3,29,24,0,2,17,15,tt6052206,-,4.6,3.1,4.3,-,7.0,2.6,4.0,-,3.5,4.0,5.7
Prohibition: A Film by Ken Burns and Lynn Novick,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Prosecuting Evil: The Extraordinary World of Ben Ferencz,7.7,552,284,105,0,47,156,177,0,33,115,120,0,12,37,52,tt7616974,-,7.4,7.5,7.8,-,7.1,7.4,7.5,-,8.3,7.8,8.3
Psiconautas,7.2,"2,487","1,445",290,4,442,892,271,4,329,749,235,0,107,122,33,tt5004766,8.0,7.6,7.1,6.9,8.0,7.6,7.0,6.8,-,7.7,7.1,7.3
Pukar,5.9,340,231,23,0,21,149,80,0,17,141,65,0,4,6,12,tt0086156,-,5.0,5.8,5.6,-,5.0,5.8,5.7,-,5.7,5.8,5.2
Pulp Fiction,8.9,"1,964,133","1,139,482","218,847",899,"278,822","781,613","218,750",629,"216,908","652,669","181,487",179,"52,388","117,041","32,774",tt0110912,9.0,8.9,8.9,8.8,9.1,9.0,9.0,8.8,8.7,8.6,8.6,8.3
Punjab 1984,8.5,"2,107","1,291",85,0,467,683,70,0,429,640,59,0,32,37,8,tt3607198,-,8.7,8.2,6.2,-,8.7,8.2,6.1,-,7.8,7.5,6.9
Pusher,7.3,"38,821","28,604","2,450",10,"4,345","19,719","6,158",6,"3,851","18,019","5,569",2,394,"1,447",497,tt0117407,7.6,7.4,7.3,7.3,8.5,7.4,7.4,7.3,6.5,7.2,7.0,7.2
Pyaar Ka Punchnama,7.7,"21,172","14,842",854,2,"4,636","9,468",416,2,"4,367","8,941",357,0,228,481,54,tt1926313,4.0,7.8,7.7,6.3,4.0,7.8,7.7,6.4,-,7.1,6.8,5.6
Pyaar Tune Kya Kiya,7.3,77,25,7,0,22,6,3,0,15,3,3,0,4,3,0,tt4499570,-,6.8,7.0,4.0,-,6.4,8.5,4.0,-,6.0,7.7,-
Q Ball,6.8,641,421,26,1,84,269,77,1,74,249,72,0,5,15,3,tt10254986,6.0,7.0,6.7,6.7,6.0,7.0,6.7,6.8,-,7.2,6.7,7.0
Qué pena tu serie,6.4,17,7,5,0,2,7,2,0,1,4,1,0,1,3,1,tt6953646,-,7.0,5.4,7.0,-,4.0,6.8,7.0,-,10.0,7.0,7.0
Quantum of Solace,6.6,"438,551","305,018","35,525",147,"60,245","211,626","54,558",117,"52,104","188,065","48,066",12,"6,846","21,162","5,570",tt0830515,6.2,6.5,6.6,6.7,6.1,6.5,6.6,6.7,5.7,6.6,6.6,6.8
Queen of No Marriage,6.9,99,17,40,0,13,31,10,0,6,8,1,0,6,19,8,tt4344826,-,6.7,6.7,8.1,-,6.3,6.4,8.0,-,8.4,6.7,8.4
Queen of the Desert,5.7,"11,300","6,156","2,402",3,"1,016","4,307","2,822",0,622,"3,032","2,115",1,361,"1,203",656,tt1837636,10.0,5.7,5.5,5.9,-,5.4,5.4,5.8,10.0,6.2,5.8,6.2
Queens of Comedy,4.3,10,8,0,0,0,4,4,0,0,4,4,0,0,0,0,tt15137010,-,-,3.8,4.0,-,-,3.8,4.0,-,-,-,-
Queens vs. Kings,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt12708510,0,0,0,0,0,0,0,0,0,0,0,0
R.L. Stine's Mostly Ghostly,4.9,"1,502",692,427,1,306,511,253,1,142,326,194,0,159,184,57,tt1052024,5.0,5.0,4.7,4.5,5.0,4.7,4.5,4.3,-,5.5,5.1,5.3
Rab Se Sohna Isshq,7.2,30,9,6,0,3,2,3,0,2,1,2,0,1,1,1,tt3002496,-,9.5,1.0,3.3,-,9.0,1.0,2.5,-,10.0,1.0,5.0
Race to Witch Mountain,5.7,"58,942","38,737","8,402",16,"9,609","26,656","9,295",12,"6,892","22,385","7,819",3,"2,523","4,016","1,357",tt1075417,5.1,5.6,5.6,5.9,4.7,5.6,5.6,5.9,7.7,6.0,5.8,6.2
Rachel Getting Married,6.7,"48,895","27,947","13,144",8,"3,406","27,565","9,562",4,"1,799","18,344","7,177",2,"1,548","8,923","2,252",tt1084950,5.9,6.9,6.7,6.4,7.7,7.2,6.8,6.5,6.5,6.4,6.4,6.4
Radical: the Controversial Saga of Dada Figueiredo,5.6,33,23,2,0,0,15,9,0,0,14,8,0,0,1,0,tt3695154,-,-,5.5,5.1,-,-,5.3,5.1,-,-,7.0,-
Radiopetti,7.2,194,125,14,0,31,84,15,0,29,74,12,0,1,10,3,tt4834712,-,7.1,7.3,6.4,-,7.1,7.4,6.1,-,8.0,6.7,7.3
Raging Bull,8.2,"343,201","230,138","21,538",150,"39,516","150,376","52,657",123,"35,276","137,298","46,181",21,"3,426","11,523","5,677",tt0081398,8.3,8.3,8.1,8.1,8.4,8.3,8.2,8.2,7.6,7.8,7.7,7.7
Rahasya,7.6,"4,841","3,246",255,1,949,"2,062",222,0,884,"1,913",188,1,53,141,32,tt3337550,7.0,7.8,7.5,7.1,-,7.9,7.5,7.0,7.0,7.1,7.1,7.5
Raiders!: The Story of the Greatest Fan Film Ever Made,6.9,"2,161","1,609",123,0,227,990,454,0,204,914,411,0,19,63,35,tt3551954,-,7.1,6.9,6.9,-,7.2,6.9,6.9,-,6.6,6.6,6.9
Railroad Tigers,5.7,"4,346","2,932",296,5,543,"1,716",741,3,467,"1,571",671,2,65,127,61,tt4687848,6.0,5.9,5.7,5.6,7.3,5.9,5.7,5.6,3.5,5.7,5.9,6.5
Raja Hindustani,6.1,"7,577","4,986",676,2,"1,200","3,822",375,2,"1,040","3,408",271,0,148,390,100,tt0117437,9.0,6.4,5.9,5.6,9.0,6.4,5.9,5.5,-,6.4,6.1,6.0
Rajnigandha,7.2,25,8,2,0,3,7,0,0,2,6,0,0,1,1,0,tt14873108,-,5.7,4.4,-,-,3.5,5.4,-,-,10.0,2.0,-
Ralph Breaks the Internet: Wreck-It Ralph 2,7.0,"151,944","79,300","19,016",292,"26,636","52,443","11,722",206,"18,813","41,957","9,884",47,"6,062","9,044","1,485",tt5848272,6.7,7.1,7.0,7.0,6.8,7.1,7.0,7.0,6.6,7.3,7.1,7.2
Ram Teri Ganga Maili,6.6,"1,016",684,109,0,112,524,119,0,102,452,94,0,9,71,23,tt0152139,-,6.8,6.5,6.7,-,6.8,6.5,6.7,-,6.6,7.1,6.7
Ramayan,9.2,"18,829","8,247",351,22,"3,130","3,631",255,17,"2,958","3,430",223,4,91,156,26,tt0268093,7.7,9.1,8.8,5.9,9.6,9.2,8.8,5.8,5.0,8.0,8.1,8.0
Ramen Shop,6.7,"1,994","1,166",302,0,175,732,499,0,118,564,404,0,44,146,83,tt6720618,-,6.9,6.7,6.7,-,6.8,6.7,6.7,-,7.0,6.9,7.1
Ramji Londonwaley,6.7,"1,122",781,109,0,165,622,70,0,151,548,51,0,14,71,19,tt0476848,-,6.7,6.6,6.5,-,6.7,6.5,6.4,-,7.0,7.1,6.9
Rampant,6.3,"4,036","2,338",488,2,444,"1,490",682,1,329,"1,240",556,1,93,222,111,tt6927152,7.0,6.4,6.2,6.4,7.0,6.4,6.2,6.3,7.0,6.4,6.6,6.7
Ranbhool,5.5,28,16,7,0,4,12,6,0,2,10,3,0,2,2,3,tt2612162,-,3.2,4.6,5.7,-,3.0,4.7,6.0,-,3.5,5.0,5.5
Rangreza,5.1,236,128,32,0,43,84,12,0,34,67,11,0,9,16,1,tt7765900,-,5.4,4.9,3.4,-,5.7,5.0,3.6,-,4.1,5.0,2.0
Rats,8.5,528,288,45,1,44,146,107,1,32,124,85,0,7,15,19,tt12819234,10.0,8.5,8.4,8.4,10.0,8.6,8.3,8.3,-,6.4,8.7,8.9
Razia Sultan,6.4,204,137,25,0,16,72,68,0,13,61,56,0,3,10,12,tt0152148,-,7.1,7.0,5.9,-,7.0,6.8,5.7,-,7.7,6.6,7.3
Reaction,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt8614354,0,0,0,0,0,0,0,0,0,0,0,0
Ready,4.9,"18,012","10,101",838,11,"3,847","5,937",387,11,"3,558","5,492",298,0,258,412,83,tt1708532,6.0,5.0,4.6,4.6,6.0,4.9,4.6,4.6,-,5.6,4.4,5.2
Reality of Dream,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt5861196,0,0,0,0,0,0,0,0,0,0,0,0
Rebel Without a Cause,7.7,"88,715","52,127","14,690",27,"11,110","36,398","17,606",13,"7,589","28,171","14,405",13,"3,281","7,811","2,959",tt0048545,7.1,7.8,7.6,7.6,8.1,7.8,7.6,7.6,5.7,7.7,7.7,7.7
Rebelde,7.5,"5,581","2,098","2,517",2,957,"2,309","1,217",0,320,"1,608",112,1,615,694,"1,103",tt0414766,9.5,7.6,7.0,8.2,-,6.5,6.7,4.0,10.0,8.2,7.5,9.0
Recall,6.4,291,120,34,1,18,85,43,1,12,68,31,0,6,15,8,tt6622960,7.0,5.6,6.3,6.7,7.0,5.2,6.4,6.8,-,6.8,5.4,7.1
Rectify,8.4,"25,997","13,917","5,801",3,"2,033","10,145","6,466",1,"1,529","7,350","4,111",2,468,"2,634","2,228",tt2183404,8.3,8.5,8.3,8.3,8.0,8.5,8.3,8.2,8.5,8.4,8.3,8.6
Red Christmas,4.4,"2,106","1,292",295,1,142,825,542,0,110,669,432,1,32,137,103,tt5120400,10.0,4.1,4.5,4.3,-,4.0,4.5,4.4,10.0,4.5,4.1,3.8
Red Dawn,6.3,"55,411","38,492","4,120",10,"2,847","20,260","18,261",8,"2,393","18,449","16,058",1,385,"1,592","1,954",tt0087985,5.7,6.4,6.1,6.4,6.1,6.4,6.1,6.4,4.0,6.4,6.2,6.7
Red Oleanders Raktokarobi,7.2,70,36,9,0,10,21,5,0,10,14,4,0,0,7,1,tt7792194,-,3.4,6.1,5.4,-,3.4,5.9,8.0,-,-,6.9,4.0
Red Trees,6.3,142,76,35,0,6,46,52,0,3,28,39,0,3,18,12,tt7211972,-,7.1,6.3,6.3,-,7.3,6.1,6.2,-,8.0,6.7,6.5
Red vs. Blue,8.4,"9,322","6,291",755,5,"1,411","4,694",681,3,"1,228","4,204",571,2,166,455,99,tt0401747,5.9,8.5,8.4,7.0,7.0,8.5,8.4,7.1,3.0,8.4,8.8,6.7
Refugee,7.6,45,11,0,0,1,6,3,0,1,6,3,0,0,0,0,tt10577040,-,5.0,6.6,5.3,-,5.0,6.6,5.3,-,-,-,-
Regatta,4.4,150,95,5,0,28,48,16,0,25,45,14,0,1,3,0,tt5888866,-,4.6,4.7,4.3,-,4.5,4.5,4.3,-,6.0,8.0,-
Reggie Yates Outside Man,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Reincarnated,6.2,"2,485","1,803",233,0,498,"1,219",223,0,430,"1,077",189,0,61,128,31,tt2312602,-,6.5,6.1,5.9,-,6.5,6.1,5.8,-,6.2,6.4,6.8
Rembat,4.9,20,13,2,0,6,3,4,0,4,3,4,0,2,0,0,tt7785062,-,4.5,4.0,6.3,-,3.8,4.0,6.3,-,3.5,-,-
Remember,7.5,"24,958","15,856","3,188",1,"2,149","9,723","6,202",1,"1,707","8,084","5,036",0,384,"1,488","1,039",tt3704050,7.0,7.5,7.4,7.5,7.0,7.4,7.3,7.5,-,7.7,7.5,7.8
Remember Me,8.4,"466,028","216,234","67,314",770,"85,896","140,409","30,246",511,"58,788","107,560","24,057",187,"23,134","29,779","5,414",tt2380307,8.4,8.6,8.3,8.1,8.4,8.5,8.2,8.1,8.5,8.8,8.5,8.4
Rememory,6.1,"16,457","10,252","2,457",5,"1,768","7,063","3,085",3,"1,362","5,660","2,478",2,377,"1,298",550,tt2331047,7.5,6.4,6.0,6.1,6.3,6.4,6.0,6.1,9.0,6.6,6.2,6.6
Republic of Doyle,7.7,"3,979","1,626","1,175",0,205,"1,029","1,421",0,114,599,814,0,87,410,581,tt1297754,-,7.7,7.4,7.6,-,7.6,7.2,7.5,-,7.8,7.8,7.9
Resident Evil: Afterlife,6.2,"192,095","136,205","19,684",30,"23,369","105,500","22,210",20,"19,309","91,800","19,428",7,"3,600","12,647","2,452",tt0432021,5.6,6.4,6.2,6.3,5.8,6.3,6.1,6.2,5.2,6.9,6.5,6.7
Residente,8.0,405,225,66,0,89,146,27,0,64,110,24,0,20,35,3,tt6414866,-,8.3,7.8,7.4,-,8.2,7.8,7.3,-,8.6,8.0,9.3
Restless Creature: Wendy Whelan,7.1,372,102,157,0,52,122,76,0,15,42,36,0,35,76,35,tt5119264,-,6.6,7.1,7.5,-,6.1,6.9,7.4,-,6.9,7.2,7.7
Return To The 36th Chamber,6.9,"3,835","2,865",150,2,303,"1,825",798,2,288,"1,735",728,0,14,73,60,tt0081494,7.5,6.9,6.9,6.8,7.5,6.9,6.9,6.8,-,7.5,6.6,6.8
Revelations,7.8,"168,357","117,555","12,771",22,"11,785","83,655","32,037",15,"10,702","75,734","27,223",6,909,"7,086","4,339",tt0140352,7.5,7.9,7.9,7.8,7.8,7.9,7.9,7.8,6.3,7.6,7.6,7.9
Revenge,8.0,"118,169","37,732","51,854",9,"17,934","49,922","15,118",4,"6,155","20,481","7,757",5,"11,391","28,624","7,042",tt1837642,4.3,8.3,7.9,7.6,8.5,8.1,7.6,7.3,2.6,8.4,8.2,8.0
Revenge of the Green Dragons,5.3,"3,976","3,003",300,3,319,"1,868",972,1,267,"1,696",881,1,46,153,74,tt1396523,3.0,5.1,5.2,5.4,3.0,5.1,5.2,5.4,3.0,5.5,5.1,5.5
