Title,Avg,Total,Total_males,Total_Females,All_below_18,All_18_29,All_30_44,All_over_45,Males_below_18,Males_18_29,Males_30_44,Males_over_45,Females_below_18,Females_18_29,Females_30_44,Females_over_45,Title_ID,All_rank_below_18,All_rank_18_29,All_rank_30_44,All_rank_over_45,Males_rank_below_18,Males_rank_18_29,Males_rank_30_44,Males_rank_over_45,Females_rank_below_18,Females_rank_18_29,Females_rank_30_44,Females_rank_over_45
Meet the In-Laws,5.6,142,96,15,0,16,77,11,0,15,70,6,0,1,7,5,tt2459282,-,6.1,5.5,5.7,-,6.1,5.5,5.2,-,4.0,5.0,7.5
Crazy Awesome Teachers,6.2,434,186,45,0,69,100,18,0,49,86,17,0,17,13,1,tt10643918,-,6.4,5.8,5.8,-,6.2,5.7,5.8,-,6.8,6.4,6.0
Glitch Techs,7.7,"1,299",418,148,27,190,239,70,13,132,175,55,14,44,62,15,tt7697062,6.8,7.6,7.3,6.9,7.3,7.8,7.2,7.0,6.4,6.8,7.9,6.3
Islands of Faith,7.3,112,51,26,0,21,37,8,0,11,27,6,0,8,10,2,tt9096988,-,7.4,7.0,7.2,-,7.5,6.9,6.6,-,7.1,7.1,8.5
Les Misérables,7.6,"323,482","164,781","83,703",107,"66,049","133,559","32,529",59,"38,338","90,843","23,172",37,"26,186","40,757","8,752",tt1707386,7.4,7.8,7.4,7.3,7.9,7.7,7.3,7.2,6.5,8.2,7.8,7.8
Seventh Son,5.5,"75,802","48,298","11,745",12,"10,656","34,550","11,309",8,"7,753","27,611","9,464",2,"2,705","6,457","1,646",tt1121096,5.0,5.5,5.4,5.7,4.7,5.4,5.3,5.7,7.5,5.7,5.5,5.9
Stranger,8.5,"7,578","3,088","1,478",3,866,"2,219","1,064",1,519,"1,525",712,2,314,633,310,tt6461346,9.7,8.7,8.4,8.3,9.0,8.7,8.4,8.2,10.0,8.9,8.5,8.5
Dérè: An African Tale,6.6,15,8,3,0,2,5,4,0,1,4,3,0,1,1,1,tt2111258,-,4.5,6.5,4.7,-,2.0,7.5,6.0,-,7.0,6.0,2.0
Rita,8.1,"8,752","3,308","2,785",3,872,"2,806","2,052",2,404,"1,356","1,257",1,435,"1,377",724,tt1973692,7.0,8.0,8.1,8.1,6.5,7.9,7.9,8.0,8.0,8.2,8.3,8.3
Takki,6.5,248,78,24,0,46,39,6,0,32,29,3,0,11,7,2,tt6052432,-,6.7,6.3,6.7,-,6.5,6.5,7.7,-,7.0,5.6,7.5
What's Your Raashee?,4.9,"2,711","1,792",413,0,442,"1,491",195,0,341,"1,252",137,0,97,233,55,tt1242530,-,4.6,4.9,5.7,-,4.4,4.9,5.8,-,5.5,5.0,5.6
3%,7.4,"24,795","11,521","5,298",17,"4,562","8,104","2,663",10,"2,846","5,409","1,946",6,"1,550","2,504",668,tt4922804,6.7,7.7,7.3,7.0,7.0,7.6,7.1,6.9,5.2,7.9,7.7,7.4
Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt15929232,0,0,0,0,0,0,0,0,0,0,0,0
Fearless,7.6,"75,255","57,904","4,237",4,"6,122","44,311","10,195",3,"5,607","41,215","9,103",1,414,"2,707",951,tt0446059,7.0,7.7,7.6,7.3,6.7,7.7,7.6,7.3,8.0,7.7,7.5,7.5
Nigerian Prince,5.8,382,212,51,0,25,147,76,0,17,118,64,0,7,24,10,tt6851966,-,5.5,5.8,5.5,-,5.1,5.8,5.3,-,6.6,5.8,6.0
Octonauts & the Caves of Sac Actun,6.2,170,82,16,1,10,55,26,1,7,49,20,0,3,6,5,tt12759408,10.0,6.5,5.9,6.9,10.0,5.8,5.7,7.0,-,8.3,9.2,6.5
Project Power,6.0,"83,662","48,934","6,709",80,"10,285","31,405","9,792",59,"8,462","27,144","8,425",9,"1,322","3,516","1,119",tt7550000,5.6,6.0,5.9,6.0,5.7,6.0,5.9,5.9,3.5,6.3,6.3,6.5
Teenage Bounty Hunters,7.7,"10,557","3,474","1,969",19,"1,330","2,457","1,175",5,629,"1,523",915,11,620,877,234,tt10584608,5.5,7.7,7.6,7.5,8.0,7.7,7.4,7.4,5.1,7.8,7.8,7.5
The Great Heist,7.2,"7,357","4,525",581,2,804,"2,812","1,157",2,645,"2,471","1,015",0,120,289,115,tt10948718,8.0,7.2,7.1,7.2,8.0,7.1,7.1,7.1,-,7.4,7.5,7.4
The Legend of Korra,8.5,"116,015","60,769","15,527",183,"31,116","35,567","3,783",92,"23,551","28,466","2,985",72,"6,759","6,612",721,tt1695360,8.1,8.5,8.5,8.0,8.2,8.5,8.5,8.0,7.9,8.6,8.6,8.0
Zoids Wild,6.2,24,12,1,0,4,4,3,0,4,4,3,0,0,0,0,tt12317724,-,5.8,5.5,6.0,-,5.8,5.5,6.0,-,-,-,-
An Easy Girl,5.6,"4,894","2,761",744,9,583,"1,858",897,3,358,"1,428",786,4,195,381,89,tt9632590,4.8,5.5,5.6,5.7,5.0,5.5,5.6,5.7,6.0,5.7,5.8,5.7
Christine,6.7,"79,737","51,559","9,068",27,"5,638","32,509","20,494",24,"4,518","27,249","17,439",2,"1,002","4,868","2,735",tt0085333,7.1,6.8,6.7,6.7,7.1,6.8,6.7,6.7,6.0,6.7,6.6,6.7
Simon Killer,6.3,"4,684","3,250",557,2,622,"2,160",952,0,507,"1,852",787,0,101,282,149,tt1790834,7.0,6.9,6.3,5.8,-,7.0,6.3,5.8,-,6.2,6.2,5.7
(Un)Well,6.4,"1,028",402,320,0,136,420,120,0,57,244,83,0,76,166,34,tt12759384,-,6.6,6.5,5.9,-,6.4,6.5,5.8,-,6.7,6.7,6.1
Gunjan Saxena: The Kargil Girl,5.3,"34,234","10,088","1,641",14,"2,957","6,261",519,9,"2,493","5,264",429,3,325,881,78,tt10350626,6.8,5.3,5.2,6.0,7.4,5.2,5.1,5.8,7.0,6.3,6.4,7.5
Mr. Peabody & Sherman,6.8,"68,113","38,021","11,349",134,"12,896","24,916","7,903",99,"9,124","19,217","6,534",24,"3,491","5,381","1,252",tt0864835,6.6,6.9,6.7,6.7,6.6,6.9,6.7,6.7,6.9,7.1,6.9,7.0
"Rob Schneider: Asian Momma, Mexican Kids",5.5,721,449,83,2,68,296,136,2,57,245,112,0,7,45,23,tt12724632,3.0,5.5,5.4,5.8,3.0,5.5,5.4,5.7,-,5.5,5.2,6.1
GAME ON: A Comedy Crossover Event,5.5,206,98,30,0,23,69,30,0,15,56,23,0,6,13,7,tt12800428,-,6.1,5.3,5.3,-,5.5,5.3,5.1,-,6.8,5.0,6.6
Terrace House: Tokyo 2019-2020,7.5,681,279,139,0,135,213,39,0,79,145,30,0,52,63,9,tt10686814,-,7.5,7.5,7.4,-,7.7,7.4,7.7,-,7.2,7.6,5.7
The Lost Husband,6.1,"4,555","1,233","1,667",4,323,"1,347","1,012",1,113,523,490,3,201,794,496,tt4257940,6.3,5.9,5.8,6.3,2.0,5.7,5.5,6.1,8.5,6.0,6.1,6.6
Diamonds in the Sky,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt14605694,0,0,0,0,0,0,0,0,0,0,0,0
The Governor,7.4,141,66,34,0,4,38,55,0,0,28,35,0,3,10,18,tt0111988,-,9.0,7.4,7.3,-,-,7.4,6.8,-,9.0,7.2,8.0
We Summon the Darkness,5.2,"9,765","5,839","1,130",5,848,"3,980","1,720",1,609,"3,296","1,467",3,203,601,218,tt8058874,4.8,5.2,5.2,5.1,5.0,5.1,5.2,5.1,5.5,5.2,5.3,5.4
"Berlin, Berlin: Lolle on the Run",3.8,531,281,72,0,37,195,99,0,22,147,85,0,12,40,11,tt10556130,-,3.8,3.6,4.1,-,3.5,3.6,4.2,-,4.4,3.9,3.5
High Seas,6.8,"7,122","2,395","1,902",8,"1,028","1,872","1,072",3,438,965,691,4,462,833,354,tt8961508,7.7,7.1,6.7,6.5,7.7,7.0,6.6,6.3,8.2,7.2,6.9,6.8
Selling Sunset,6.5,"5,447","1,405","1,749",6,772,"1,651",488,1,257,731,255,4,444,851,226,tt9817298,4.0,7.0,6.3,5.8,9.0,6.4,5.7,5.6,5.2,7.3,6.8,6.2
Sing On! Germany,5.5,133,62,22,0,18,52,13,0,10,38,13,0,7,13,0,tt12748264,-,5.7,5.6,5.0,-,6.3,5.2,5.0,-,4.8,6.6,-
Stars in the Sky: A Hunting Story,7.3,324,191,20,0,26,128,39,0,21,116,33,0,4,9,6,tt10078502,-,6.4,7.4,6.2,-,6.7,7.5,6.3,-,6.8,6.8,5.7
The Magic School Bus Rides Again Kids In Space,6.0,80,37,10,0,13,22,10,0,9,17,6,0,2,5,2,tt12730310,-,6.9,6.1,4.3,-,7.7,5.6,4.8,-,10.0,7.6,1.5
Tiny Creatures,5.0,"1,190",586,168,0,126,414,150,0,92,315,114,0,32,87,31,tt12759334,-,4.3,4.7,5.9,-,4.2,4.6,5.7,-,4.5,5.1,6.4
